time (seconds),Sweep 0_Membrane Potential (mV),Sweep 1_Membrane Potential (mV),Sweep 2_Membrane Potential (mV),Sweep 3_Membrane Potential (mV),Sweep 4_Membrane Potential (mV),Sweep 5_Membrane Potential (mV),Sweep 6_Membrane Potential (mV),Sweep 7_Membrane Potential (mV),Sweep 8_Membrane Potential (mV)
0.0,-63.1103515625,-62.80517578125,-63.629150390625,-63.5986328125,-63.262939453125,-62.92724609375,-63.232421875,-63.04931640625,-63.04931640625
0.0002,-63.140869140625,-62.92724609375,-63.873291015625,-63.720703125,-63.262939453125,-63.29345703125,-63.53759765625,-63.079833984375,-62.591552734375
0.0004,-63.079833984375,-62.744140625,-63.629150390625,-63.446044921875,-63.262939453125,-63.41552734375,-63.29345703125,-62.652587890625,-62.56103515625
0.0006000000000000001,-63.17138671875,-62.591552734375,-63.446044921875,-63.629150390625,-63.140869140625,-63.53759765625,-63.04931640625,-63.1103515625,-62.80517578125
0.0008,-63.232421875,-62.591552734375,-63.934326171875,-63.41552734375,-63.17138671875,-63.4765625,-63.17138671875,-62.957763671875,-63.018798828125
0.001,-63.41552734375,-62.68310546875,-63.78173828125,-63.29345703125,-63.3544921875,-63.41552734375,-63.3544921875,-62.957763671875,-62.744140625
0.0012000000000000001,-63.323974609375,-62.98828125,-63.65966796875,-63.53759765625,-63.53759765625,-63.3544921875,-63.4765625,-63.201904296875,-62.957763671875
0.0014,-63.3544921875,-63.079833984375,-63.65966796875,-63.568115234375,-63.446044921875,-63.04931640625,-63.385009765625,-62.92724609375,-62.8662109375
0.0016,-63.5986328125,-62.92724609375,-63.8427734375,-63.232421875,-63.41552734375,-63.262939453125,-63.079833984375,-62.591552734375,-63.018798828125
0.0018000000000000002,-63.53759765625,-62.835693359375,-63.873291015625,-63.507080078125,-63.446044921875,-63.385009765625,-62.98828125,-62.957763671875,-62.6220703125
0.002,-63.41552734375,-62.98828125,-63.720703125,-63.140869140625,-63.41552734375,-63.507080078125,-62.92724609375,-63.17138671875,-62.652587890625
0.0022,-63.232421875,-62.92724609375,-63.4765625,-63.385009765625,-63.04931640625,-63.812255859375,-63.04931640625,-63.1103515625,-63.018798828125
0.0024000000000000002,-63.018798828125,-62.68310546875,-63.3544921875,-63.41552734375,-63.4765625,-63.41552734375,-63.262939453125,-62.591552734375,-62.896728515625
0.0026000000000000003,-63.201904296875,-62.713623046875,-63.629150390625,-63.079833984375,-63.201904296875,-63.29345703125,-63.53759765625,-62.591552734375,-62.744140625
0.0028,-63.385009765625,-62.835693359375,-63.78173828125,-63.323974609375,-62.98828125,-63.04931640625,-63.446044921875,-62.92724609375,-63.04931640625
0.003,-63.4765625,-62.8662109375,-63.873291015625,-63.4765625,-62.98828125,-63.140869140625,-63.690185546875,-63.232421875,-63.17138671875
0.0032,-63.17138671875,-62.8662109375,-63.8427734375,-63.507080078125,-63.140869140625,-63.385009765625,-63.4765625,-63.17138671875,-62.896728515625
0.0034000000000000002,-63.29345703125,-63.04931640625,-63.873291015625,-63.3544921875,-63.29345703125,-63.41552734375,-63.4765625,-63.018798828125,-62.80517578125
0.0036000000000000003,-63.53759765625,-63.04931640625,-63.90380859375,-63.29345703125,-63.262939453125,-63.385009765625,-63.53759765625,-62.92724609375,-62.92724609375
0.0038,-63.201904296875,-62.896728515625,-63.812255859375,-63.568115234375,-63.3544921875,-63.17138671875,-63.04931640625,-62.80517578125,-63.17138671875
0.004,-63.385009765625,-62.591552734375,-63.78173828125,-63.5986328125,-63.262939453125,-63.446044921875,-63.140869140625,-62.744140625,-63.079833984375
0.004200000000000001,-63.385009765625,-62.56103515625,-63.90380859375,-63.53759765625,-63.04931640625,-63.29345703125,-62.744140625,-62.68310546875,-62.896728515625
0.0044,-63.323974609375,-62.896728515625,-63.873291015625,-63.4765625,-63.41552734375,-63.1103515625,-62.957763671875,-62.8662109375,-62.530517578125
0.0046,-63.53759765625,-62.98828125,-63.720703125,-63.262939453125,-63.1103515625,-63.04931640625,-63.1103515625,-62.8662109375,-62.530517578125
0.0048000000000000004,-63.568115234375,-63.079833984375,-63.690185546875,-63.17138671875,-63.04931640625,-63.446044921875,-63.140869140625,-62.68310546875,-62.744140625
0.005,-63.17138671875,-62.68310546875,-63.65966796875,-63.079833984375,-63.385009765625,-63.1103515625,-63.04931640625,-62.744140625,-62.98828125
0.005200000000000001,-63.5986328125,-62.8662109375,-63.446044921875,-63.1103515625,-63.446044921875,-63.41552734375,-62.8662109375,-62.591552734375,-63.018798828125
0.0054,-63.41552734375,-62.652587890625,-63.323974609375,-63.079833984375,-63.201904296875,-63.079833984375,-63.323974609375,-62.744140625,-63.079833984375
0.0056,-63.29345703125,-63.018798828125,-63.507080078125,-63.323974609375,-62.92724609375,-63.41552734375,-62.896728515625,-62.92724609375,-63.17138671875
0.0058000000000000005,-63.446044921875,-63.17138671875,-63.8427734375,-63.385009765625,-63.140869140625,-63.079833984375,-63.04931640625,-63.140869140625,-63.140869140625
0.006,-63.446044921875,-62.744140625,-63.90380859375,-63.1103515625,-63.29345703125,-63.079833984375,-63.079833984375,-63.446044921875,-63.262939453125
0.006200000000000001,-63.232421875,-62.80517578125,-63.751220703125,-63.4765625,-63.4765625,-63.3544921875,-63.385009765625,-63.079833984375,-63.201904296875
0.0064,-63.41552734375,-62.98828125,-63.720703125,-63.1103515625,-63.29345703125,-63.323974609375,-62.98828125,-63.41552734375,-63.079833984375
0.0066,-63.507080078125,-62.652587890625,-63.812255859375,-63.201904296875,-63.29345703125,-63.04931640625,-63.018798828125,-63.232421875,-63.018798828125
0.0068000000000000005,-63.446044921875,-63.018798828125,-63.934326171875,-63.29345703125,-63.1103515625,-63.17138671875,-63.140869140625,-62.8662109375,-62.835693359375
0.007,-63.079833984375,-62.652587890625,-63.53759765625,-63.446044921875,-62.957763671875,-63.4765625,-63.140869140625,-63.018798828125,-62.6220703125
0.007200000000000001,-63.232421875,-62.80517578125,-63.568115234375,-63.629150390625,-62.98828125,-63.568115234375,-62.92724609375,-63.079833984375,-62.713623046875
